split,baseline,paired_episodes,success_delta_mean,success_delta_ci95,regret_improvement_mean,regret_improvement_ci95,violation_delta_mean,violation_delta_ci95
combined_shift,geometric_greedy,80,0.3625,0.1116,0.1116,0.0284,0.0750,0.0581
combined_shift,nominal_rollout_mpc,80,0.0000,0.0000,0.0088,0.0101,-0.0500,0.0481
combined_shift,robust_worst_case_mpc,80,0.0000,0.0000,-0.0057,0.0089,0.0375,0.0419
combined_shift,mlp_energy_scorer,80,-0.0125,0.0426,-0.0058,0.0106,0.0375,0.0419
combined_shift,oracle_mujoco_rollout_selector,80,-0.0625,0.0534,-0.0326,0.0154,0.0625,0.0534
heavy_object,geometric_greedy,80,0.1250,0.0729,0.0626,0.0241,0.0125,0.0551
heavy_object,nominal_rollout_mpc,80,-0.0125,0.0426,0.0148,0.0141,-0.0625,0.0534
heavy_object,robust_worst_case_mpc,80,-0.0125,0.0245,-0.0046,0.0069,0.0250,0.0344
heavy_object,mlp_energy_scorer,80,0.0250,0.0344,0.0015,0.0065,0.0125,0.0245
heavy_object,oracle_mujoco_rollout_selector,80,-0.0500,0.0481,-0.0123,0.0099,0.0375,0.0419
high_friction,geometric_greedy,80,0.2000,0.0948,0.0620,0.0259,0.0125,0.0817
high_friction,nominal_rollout_mpc,80,-0.0250,0.0344,0.0154,0.0154,-0.0750,0.0581
high_friction,robust_worst_case_mpc,80,-0.0125,0.0426,-0.0017,0.0111,0.0125,0.0426
high_friction,mlp_energy_scorer,80,0.0500,0.0481,-0.0096,0.0133,0.0500,0.0481
high_friction,oracle_mujoco_rollout_selector,80,-0.0625,0.0534,-0.0264,0.0149,0.0750,0.0581
low_friction,geometric_greedy,80,0.0625,0.0534,0.0883,0.0245,0.0750,0.0581
low_friction,nominal_rollout_mpc,80,-0.0125,0.0245,0.0346,0.0186,-0.1375,0.0759
low_friction,robust_worst_case_mpc,80,-0.0125,0.0245,-0.0085,0.0128,0.0500,0.0594
low_friction,mlp_energy_scorer,80,0.0125,0.0245,-0.0024,0.0084,0.0250,0.0344
low_friction,oracle_mujoco_rollout_selector,80,-0.0125,0.0245,-0.0202,0.0123,0.0750,0.0581
nominal,geometric_greedy,80,0.1750,0.0838,0.0743,0.0234,-0.0125,0.0551
nominal,nominal_rollout_mpc,80,-0.0500,0.0481,-0.0010,0.0097,-0.0250,0.0344
nominal,robust_worst_case_mpc,80,-0.0125,0.0245,0.0012,0.0058,0.0125,0.0245
nominal,mlp_energy_scorer,80,0.0125,0.0245,0.0058,0.0036,0.0000,0.0000
nominal,oracle_mujoco_rollout_selector,80,-0.0750,0.0581,-0.0157,0.0094,0.0250,0.0344
obstacle_shift,geometric_greedy,80,0.4500,0.1097,0.1014,0.0163,0.0125,0.0245
obstacle_shift,nominal_rollout_mpc,80,-0.0250,0.0490,0.0032,0.0142,-0.0250,0.0490
obstacle_shift,robust_worst_case_mpc,80,0.0000,0.0604,-0.0020,0.0102,0.0125,0.0245
obstacle_shift,mlp_energy_scorer,80,0.0000,0.0604,-0.0037,0.0097,0.0125,0.0245
obstacle_shift,oracle_mujoco_rollout_selector,80,-0.0375,0.0419,-0.0066,0.0094,0.0125,0.0245
